alignment_id	left_source	left_term_iri	left_label	left_definition	left_comment	left_example	right_source	right_term_iri	right_label	right_definition	right_comment	right_example	ols_term_api_url	normalized_left_label	normalized_right_label	match_method	match_score	relation	suggestion_source	canonical_from	canonical_term_iri	canonical_term_label	canonical_term_source	ols_search_url	bioportal_search_url	status	curator	reviewer	date_added	date_reviewed	notes
CAND_0001	EMI	https://w3id.org/emi#Analysis	Analysis		Any analysis performed over a sample.	@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n:VGF138_A02_neg.mzXML rdf:type emi:Analysis .	ms	http://purl.obolibrary.org/obo/MS_1003903	analysis	A strategy for mass spectrometry-based analysis that defines whether analytes are predetermined or discovered during acquisition.			https://www.ebi.ac.uk/ols4/api/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1003903	analysis	analysis	ols_api_top	1.00	exact	manual_curated	right	http://purl.obolibrary.org/obo/MS_1003903	analysis	ms	https://www.ebi.ac.uk/ols4/search?q=Analysis	https://bioportal.bioontology.org/search?query=Analysis	approved	pma	pma	2026-03-02T19:54:11Z	2026-03-02T19:56:12Z	Approved after manual review.
CAND_0002	EMI	https://w3id.org/emi#BioassayAnalysis	Bioassay analysis		A bioassay is an analytical method to determine the concentration or potency of a substance by its effect on living animals or plants (in vivo), or on living cells or tissues(in vitro).		edam	http://edamontology.org/topic_1775	Function analysis	The study of gene and protein function including the prediction of functional properties of a protein.			https://www.ebi.ac.uk/ols4/api/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_1775	bioassay analysis	function analysis	ols_api_top	0.65	related	ols_api	right	http://edamontology.org/topic_1775	Function analysis	edam	https://www.ebi.ac.uk/ols4/search?q=Bioassay+analysis	https://bioportal.bioontology.org/search?query=Bioassay+analysis	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0003	EMI	https://w3id.org/emi#BiologicalSex	biological sex		An organismal quality inhering in a bearer by virtue of the bearer's ability to undergo sexual reproduction in order to differentiate the individuals or types involved [source: http://purl.obolibrary.org/obo/PATO_0000047]. We recommend to use PATO ontology terms for inviduals of this class.		obi	http://purl.obolibrary.org/obo/PATO_0000047	biological sex	An organismal quality inhering in a bearer by virtue of the bearer's ability to undergo sexual reproduction in order to differentiate the individuals or types involved.			https://www.ebi.ac.uk/ols4/api/ontologies/obi/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FPATO_0000047	biological sex	biological sex	ols_api_top	1.00	exact	ols_api	right	http://purl.obolibrary.org/obo/PATO_0000047	biological sex	obi	https://www.ebi.ac.uk/ols4/search?q=biological+sex	https://bioportal.bioontology.org/search?query=biological+sex	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0004	EMI	https://w3id.org/emi#Blank	Blank sample		A blank sample.	"@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n:VGF138_A12 rdf:type emi:Blank ;\n            dcterms:identifier ""VGF138_A12"" ."	obi	http://purl.obolibrary.org/obo/OBI_0000747	material sample	A material entity that has the material sample role			https://www.ebi.ac.uk/ols4/api/ontologies/obi/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FOBI_0000747	blank sample	material sample	ols_api_top	0.59	related	ols_api	right	http://purl.obolibrary.org/obo/OBI_0000747	material sample	obi	https://www.ebi.ac.uk/ols4/search?q=Blank+sample	https://bioportal.bioontology.org/search?query=Blank+sample	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0005	EMI	https://w3id.org/emi#CSpair	GNPS consensus spectra pair		A pair of 2 GNPSConsensusSpectra.		ms	http://purl.obolibrary.org/obo/MS_1003323	spectrum cluster consensus spectrum	Cross reference to a consensus spectrum that is constructed from aggregating spectra in a cluster, either as a library spectrum key if the consensus spectrum is in the same library, or a universal spectrum identifier if it is not.			https://www.ebi.ac.uk/ols4/api/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1003323	gnps consensus spectra pair	spectrum cluster consensus spectrum	ols_api_top	0.61	related	ols_api	right	http://purl.obolibrary.org/obo/MS_1003323	spectrum cluster consensus spectrum	ms	https://www.ebi.ac.uk/ols4/search?q=GNPS+consensus+spectra+pair	https://bioportal.bioontology.org/search?query=GNPS+consensus+spectra+pair	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0006	EMI	https://w3id.org/emi#Chemical	Chemical		A chemical. Recommendation: the instances of this class are ideally Wikidata chemical entries. If it is not a Wikidata entry we recommend to be as much as possible consistent in the whole dataset. Metadata can also be provided in order to describe the provenance of the instance (a chemical), for example, by stating the property prov-o:wasDerivedFrom (PROV-Ontology).	"@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n@prefix wd: <http://www.wikidata.org/entity/> .\n@prefix dcterms: < http://purl.org/dc/terms/> .\nwd:Q27145340 rdf:type emi:Chemical ;\n            dcterms:identifier ""Q27145340"" ;\n            emi:hasInChIKey :ZCCLDKGWJIREQF-PDBXOOCHSA-N ;\n            rdfs:label ""ZCCLDKGWJIREQF-PDBXOOCHSA-N"" ."	edam	http://edamontology.org/data_0997	Chemical name (ChEBI)	Unique name from Chemical Entities of Biological Interest (ChEBI) of a chemical compound.			https://www.ebi.ac.uk/ols4/api/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_0997	chemical	chemical name	ols_api_top	0.76	related	ols_api	right	http://edamontology.org/data_0997	Chemical name (ChEBI)	edam	https://www.ebi.ac.uk/ols4/search?q=Chemical	https://bioportal.bioontology.org/search?query=Chemical	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0007	EMI	https://w3id.org/emi#ChemicalEntity	Chemical entity		A chemical entity (chemical structure or class).		chebi	http://purl.obolibrary.org/obo/CHEBI_24431	chemical entity	A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances.			https://www.ebi.ac.uk/ols4/api/ontologies/chebi/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCHEBI_24431	chemical entity	chemical entity	ols_api_top	1.00	exact	ols_api	right	http://purl.obolibrary.org/obo/CHEBI_24431	chemical entity	chebi	https://www.ebi.ac.uk/ols4/search?q=Chemical+entity	https://bioportal.bioontology.org/search?query=Chemical+entity	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0008	EMI	https://w3id.org/emi#ChemicalStructure	Chemical structure representation		A representation of one or more chemical structures. This representation can be defined as molecular information encodings, compact encoding representations, chemical formulas and graphical representations.		obi	http://purl.obolibrary.org/obo/OBI_0002815	has representation	'has representation' is a data property that attaches between an information content entity and a value that contains linguistically or computationally coded text.			https://www.ebi.ac.uk/ols4/api/ontologies/obi/properties?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FOBI_0002815	chemical structure representation	has representation	ols_api_top	0.71	related	ols_api	right	http://purl.obolibrary.org/obo/OBI_0002815	has representation	obi	https://www.ebi.ac.uk/ols4/search?q=Chemical+structure+representation	https://bioportal.bioontology.org/search?query=Chemical+structure+representation	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0009	EMI	https://w3id.org/emi#ChemicalTaxon	Chemical taxon		As a taxonomy for chemicals such as natural products, we recommend to use the taxonomy derived from NPClassifier (i.e., https://w3id.org/emi/npc).		edam	http://edamontology.org/data_0997	Chemical name (ChEBI)	Unique name from Chemical Entities of Biological Interest (ChEBI) of a chemical compound.			https://www.ebi.ac.uk/ols4/api/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_0997	chemical taxon	chemical name	ols_api_top	0.74	related	ols_api	right	http://edamontology.org/data_0997	Chemical name (ChEBI)	edam	https://www.ebi.ac.uk/ols4/search?q=Chemical+taxon	https://bioportal.bioontology.org/search?query=Chemical+taxon	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0010	EMI	https://w3id.org/emi#ChemicalTaxonAnnotation	Chemical taxon annotation		This class is used to annotate a spectrum feature with a chemical taxon. Prefer the Chemical structure annotation class, if the annotation is mainly to assign a chemical representation structure as defined in the emi:ChemicalStructure.	@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n:CANOPUS-mzspec%3AMSV000087728%3AVGF147_E06_features_ms2_neg.mgf%3Ascan%3A45 rdf:type emi:ChemicalTaxonAnnotation .	chmo	http://purl.obolibrary.org/obo/CHMO_0001314	chemical vapour deposition	A synthesis method where the substrate is exposed to one or more volatile precursors, which react or decompose on the surface to produce a deposit.			https://www.ebi.ac.uk/ols4/api/ontologies/chmo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCHMO_0001314	chemical taxon annotation	chemical vapour deposition	ols_api_top	0.67	related	ols_api	right	http://purl.obolibrary.org/obo/CHMO_0001314	chemical vapour deposition	chmo	https://www.ebi.ac.uk/ols4/search?q=Chemical+taxon+annotation	https://bioportal.bioontology.org/search?query=Chemical+taxon+annotation	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0011	EMI	https://w3id.org/emi#ComputationalAnalysis	Computational analysis		A data analysis made with computational resources (e.g., computers, software tools).		edam	http://edamontology.org/topic_3332	Computational chemistry	Topic concerning the development and application of theory, analytical methods, mathematical models and computational simulation of chemical systems.			https://www.ebi.ac.uk/ols4/api/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_3332	computational analysis	computational chemistry	ols_api_top	0.71	related	ols_api	right	http://edamontology.org/topic_3332	Computational chemistry	edam	https://www.ebi.ac.uk/ols4/search?q=Computational+analysis	https://bioportal.bioontology.org/search?query=Computational+analysis	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0012	EMI	https://w3id.org/emi#ContinousTrait	Continuous trait		A specific quantitative characteristic of an individual such as height and blood pressure.		obi	http://purl.obolibrary.org/obo/OBI_0000486	continuous wave NMR instrument	Continuous wave NMR spectrometers are similar to optical spectrometers, but the sample is held in a strong magnetic field, where the frequency of the source is slowly scanned (in some instruments, the source frequency is held constant, and the field is scanned).			https://www.ebi.ac.uk/ols4/api/ontologies/obi/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FOBI_0000486	continuous trait	continuous wave nmr instrument	ols_api_top	0.61	related	ols_api	right	http://purl.obolibrary.org/obo/OBI_0000486	continuous wave NMR instrument	obi	https://www.ebi.ac.uk/ols4/search?q=Continuous+trait	https://bioportal.bioontology.org/search?query=Continuous+trait	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0013	EMI	https://w3id.org/emi#DevelopmentalStage	Developmental stage		A developmental stage is spatiotemporal region encompassing some part of the life cycle of an organism, e.g., blastula stage. We recommend to use the developmental stage terms from UBERON of a source or target organism sample in an interaction system such as from GloBI.		edam	http://edamontology.org/topic_3064	Developmental biology	How organisms grow and develop.			https://www.ebi.ac.uk/ols4/api/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_3064	developmental stage	developmental biology	ols_api_top	0.75	related	ols_api	right	http://edamontology.org/topic_3064	Developmental biology	edam	https://www.ebi.ac.uk/ols4/search?q=Developmental+stage	https://bioportal.bioontology.org/search?query=Developmental+stage	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0014	EMI	https://w3id.org/emi#DiscreteTrait	Discrete trait		A discrete trait structured value. When applicable, value units should be defined as the QUDT Units Vocabulary terms.	@prefix : <https://w3id.org/emi/abox#> .\n@prefix qudt: <http://qudt.org/schema/qudt/> .\n@prefix unit: <http://qudt.org/vocab/unit/> .\n:flower-color rdf:value  red ;\n              qudt:hasUnit unit:X .	edam	http://edamontology.org/format_1433	Phylip discrete states format	Format of PHYLIP discrete states data.			https://www.ebi.ac.uk/ols4/api/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fformat_1433	discrete trait	phylip discrete states format	ols_api_top	0.60	related	ols_api	right	http://edamontology.org/format_1433	Phylip discrete states format	edam	https://www.ebi.ac.uk/ols4/search?q=Discrete+trait	https://bioportal.bioontology.org/search?query=Discrete+trait	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0015	EMI	https://w3id.org/emi#ExtractSample	Extract sample		A natural extract obtained from the processing of a RawMaterial.		obi	http://purl.obolibrary.org/obo/OBI_0000423	extract	an extract is a material entity which results from an extraction process			https://www.ebi.ac.uk/ols4/api/ontologies/obi/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FOBI_0000423	extract sample	extract	ols_api_top	0.67	related	ols_api	right	http://purl.obolibrary.org/obo/OBI_0000423	extract	obi	https://www.ebi.ac.uk/ols4/search?q=Extract+sample	https://bioportal.bioontology.org/search?query=Extract+sample	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0016	EMI	https://w3id.org/emi#FBMNComponent	FBMN component		Feature-based molecular network component.		ms	http://purl.obolibrary.org/obo/MS_1002197	TOPP OpenSwath component	OpenSwath component of the TOPP software.			https://www.ebi.ac.uk/ols4/api/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1002197	fbmn component	topp open swath component	ols_api_top	0.56	related	ols_api	right	http://purl.obolibrary.org/obo/MS_1002197	TOPP OpenSwath component	ms	https://www.ebi.ac.uk/ols4/search?q=FBMN+component	https://bioportal.bioontology.org/search?query=FBMN+component	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0017	EMI	https://w3id.org/emi#GNPSConsensusSpectrum	GNPS consensus MS2 spectrum		"An MS2 spectrum corresponding to the GNPS consensus spectrum of 1 or more LCMSFeature. Recommendation: instances of this class are ideally built as follows: ""https://metabolomics-usi.ucsd.edu/dashinterface/?usi1={id}"", e.g.: ""https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=mzspec:MassIVE:TASK-773effaad17c4124b9ea9004eaa3f526-spectra/specs_ms.mgf:scan:1028""."		ms	http://purl.obolibrary.org/obo/MS_1003323	spectrum cluster consensus spectrum	Cross reference to a consensus spectrum that is constructed from aggregating spectra in a cluster, either as a library spectrum key if the consensus spectrum is in the same library, or a universal spectrum identifier if it is not.			https://www.ebi.ac.uk/ols4/api/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1003323	gnps consensus ms2 spectrum	spectrum cluster consensus spectrum	ols_api_top	0.68	related	ols_api	right	http://purl.obolibrary.org/obo/MS_1003323	spectrum cluster consensus spectrum	ms	https://www.ebi.ac.uk/ols4/search?q=GNPS+consensus+MS2+spectrum	https://bioportal.bioontology.org/search?query=GNPS+consensus+MS2+spectrum	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0018	EMI	https://w3id.org/emi#Habitat	Habitat		It defines an environment where an emi:Interaction occurs. If applicable, we recommend to use the habitat terms from ENVO or CMECS of an interaction system such as from GloBI.		obi	http://purl.obolibrary.org/obo/OBI_0400171	animal cage	A processed material which has the function to define a bounded habitat which is amenable to keeping animals.			https://www.ebi.ac.uk/ols4/api/ontologies/obi/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FOBI_0400171	habitat	animal cage	ols_api_top	0.33	related	ols_api	right	http://purl.obolibrary.org/obo/OBI_0400171	animal cage	obi	https://www.ebi.ac.uk/ols4/search?q=Habitat	https://bioportal.bioontology.org/search?query=Habitat	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0019	EMI	https://w3id.org/emi#InChIKey	InChIKey		A chemical structure represented by its InChIKey.		ms	http://purl.obolibrary.org/obo/MS_1002894	InChIKey	Unique chemical structure identifier for chemical compounds.			https://www.ebi.ac.uk/ols4/api/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1002894	in ch ikey	in ch ikey	ols_api_top	1.00	exact	ols_api	right	http://purl.obolibrary.org/obo/MS_1002894	InChIKey	ms	https://www.ebi.ac.uk/ols4/search?q=InChIKey	https://bioportal.bioontology.org/search?query=InChIKey	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0020	EMI	https://w3id.org/emi#InChIKey2D	2D InChIKey		A collection of chemical structures that share the first 14 characters of their InChIKeys, often returned by mass spectrometry based annotation tools.		edam	http://edamontology.org/format_1199	InChIKey	The InChIKey (hashed InChI) is a fixed length (25 character) condensed digital representation of an InChI chemical structure specification. It uniquely identifies a chemical compound.			https://www.ebi.ac.uk/ols4/api/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fformat_1199	2 d in ch ikey	in ch ikey	ols_api_top	0.83	related	ols_api	right	http://edamontology.org/format_1199	InChIKey	edam	https://www.ebi.ac.uk/ols4/search?q=2D+InChIKey	https://bioportal.bioontology.org/search?query=2D+InChIKey	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
CAND_0021	EMI	https://w3id.org/emi#InformationSource	Information source		The source of information. For example, the source of a given annotation that might be a bioinformatics database or machine learning classification model.		edam	http://edamontology.org/topic_0605	Informatics	The study and practice of information processing and use of computer information systems.			https://www.ebi.ac.uk/ols4/api/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0605	information source	informatics	ols_api_top	0.69	related	ols_api	right	http://edamontology.org/topic_0605	Informatics	edam	https://www.ebi.ac.uk/ols4/search?q=Information+source	https://bioportal.bioontology.org/search?query=Information+source	needs_review	pma		2026-03-02T19:54:11Z		Auto-suggested OLS pair; review definition/scope before approval
